ablation_value,comparison,delta,fixture_id,l4_value,metric
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,0.0,unsafe_rate
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,1.0,safe_rate
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,0.0,propagation_handoffs_per_task
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:active:business-0,1.0,route_coverage
1507.3125,L4 minus L4_no_push,-210.1875,final-v1:long_chain_fork:active:business-0,1297.125,tokens_per_decision
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,0.0,unsafe_rate
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,1.0,safe_rate
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,0.0,propagation_handoffs_per_task
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:active:business-0,1.0,route_coverage
1515.1875,L4 minus L4_no_fact,-218.0625,final-v1:long_chain_fork:active:business-0,1297.125,tokens_per_decision
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,0.0,unsafe_rate
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,1.0,safe_rate
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,0.0,propagation_handoffs_per_task
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:active:business-0,1.0,route_coverage
1333.0,L4 minus L4_no_recovery,-35.875,final-v1:long_chain_fork:active:business-0,1297.125,tokens_per_decision
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,0.0,unsafe_rate
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,1.0,safe_rate
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,1.0,unrelated_retention
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,0.0,overfreeze_rate
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,0.0,propagation_handoffs_per_task
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:active:business-0,1.0,route_coverage
1307.5,L4 minus L3_coarse,-10.375,final-v1:long_chain_fork:active:business-0,1297.125,tokens_per_decision
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:active:business-0,0.0,unsafe_rate
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:active:business-0,1.0,safe_rate
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:active:business-0,1.0,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:active:business-0,0.0,overfreeze_rate
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:active:business-0,0.0,propagation_handoffs_per_task
