comparison,fixtures,interval_95,mean,method,metric
L4 minus L3_coarse,9,"[-0.2222222222222222, 0.0]",-0.1111111111111111,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L3_coarse,9,"[0.027777777777777776, 0.3055555555555556]",0.16666666666666666,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L3_coarse,9,"[0.05555555555555555, 0.5925925925925926]",0.3148148148148148,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L3_coarse,9,"[-0.5, -0.05555555555555555]",-0.2592592592592593,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L3_coarse,9,"[-0.6666666666666666, 0.0]",-0.3333333333333333,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L3_coarse,8,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L3_coarse,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L3_coarse,9,"[-235.19792980545046, 550.4048233328418]",120.786923395089,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus L4_no_fact,9,"[-0.3333333333333333, 0.0]",-0.16666666666666666,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L4_no_fact,9,"[0.027777777777777776, 0.19444444444444445]",0.1111111111111111,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L4_no_fact,9,"[0.05555555555555555, 0.3703703703703704]",0.20370370370370372,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L4_no_fact,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L4_no_fact,9,"[-1.0, 0.0]",-0.5,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L4_no_fact,8,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L4_no_fact,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L4_no_fact,9,"[-513.5191778465773, 284.04894384654443]",-143.47259625097607,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus L4_no_push,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L4_no_push,9,"[0.0, 0.08333333333333333]",0.027777777777777776,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L4_no_push,9,"[0.0, 0.1111111111111111]",0.03703703703703704,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L4_no_push,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L4_no_push,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L4_no_push,8,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L4_no_push,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L4_no_push,9,"[-579.9406246416696, 331.9421685340803]",-121.17606823431129,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus L4_no_recovery,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L4_no_recovery,9,"[0.0, 0.16666666666666666]",0.05555555555555555,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L4_no_recovery,9,"[0.0, 0.3333333333333333]",0.1111111111111111,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L4_no_recovery,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L4_no_recovery,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L4_no_recovery,8,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L4_no_recovery,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L4_no_recovery,9,"[-632.4735867446393, 410.9937169312169]",-61.279908103592334,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus verify_all,9,"[-0.2222222222222222, 0.0]",-0.1111111111111111,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus verify_all,9,"[0.0, 0.16666666666666666]",0.08333333333333333,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus verify_all,9,"[0.0, 0.29629629629629634]",0.14814814814814817,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus verify_all,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus verify_all,9,"[-0.6666666666666666, 0.0]",-0.3333333333333333,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus verify_all,8,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus verify_all,9,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus verify_all,9,"[-504.762209513435, 340.2169506691566]",-102.34543910156653,percentile bootstrap of fixture-level paired differences,tokens_per_decision
