audit_rejected_evidence,authority_confirmed,budget_decisions,budget_holds,business_variant,case,decision_count,error_action_blocks,explicit_action_opportunities,fact_queries,fault_action_opportunities,fixture_hash,fixture_id,group,index,invalid_actions,invalid_decisions,invalid_outcomes,journal_attempts,journal_calls,journal_known_tokens,journal_malformed_lines,journal_unknown_usage,known_affected_tasks,known_tasks,known_tokens,known_unrelated_tasks,layer,model_holds,new_model_calls,notification_bytes,notifications,outcome_count,outcome_errors,overfrozen_tasks,planned_affected_tasks,planned_tasks,planned_unrelated_tasks,post_fault_error_branches,post_fault_error_handoffs,post_fault_error_organizations,post_fault_propagation_hops,provider_attempts,provider_failed_attempts,provider_failure_decisions,provider_returned_attempts,recovered_tasks,recovery_model_stops,recovery_request_proposals,recovery_submitted,result_path,result_sha256,root_identity_count,route_reference_count,rpc_rejections,safe_final_completion,source,status,status_queries,topology,total_tasks,true_model_holds,unknown_affected_tasks,unknown_reason,unknown_tasks,unknown_unrelated_tasks,unknown_usage_attempts,unrelated_completed,unrelated_task_count,unsafe_action_count,unsafe_completion_count,verified_route_count,worker_errors,workflow_id
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,main,0,0,0,0,16,16,9992,0,0,0,4,9992,4,L0,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0000/result.json,f86f9ecffd5fc62fb9f9900a532d691ca687136ffce383043b324e6b4f35c422,0,22,0,4,base_preserved,completed,0,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,0,0,w0000
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,main,1,0,0,0,16,16,20534,0,0,0,4,20534,4,L1,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0001/result.json,abcdb1875fd29b0ff855ce0bbe335e019fdab8de7a0f8ce02c190b93d29c400e,4,22,0,4,base_preserved,completed,0,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0001
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,main,2,0,0,0,16,16,21041,0,0,0,4,21041,4,L2,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0002/result.json,4adc576512ae7d898584208303525d1c47101c097e7d0506f65e53533897e6d0,4,22,0,4,base_preserved,completed,20,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0002
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,main,3,0,0,0,16,16,24089,0,0,0,4,24089,4,L3,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_claimref_fix_20260911/runs/w0003/result.json,d5e543844d923bd89567cec1c59442636c8aeb28d178b6a497b117747ce7f922,4,22,0,4,claimref_fix,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0003
0,0,0,0,business-0,active,16,0,16,50,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,main,4,0,0,0,16,16,20754,0,0,0,4,20754,4,L4,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0004/result.json,1daf4c6ad4d773a7c74c1d072316436e3b0e374cd4c4f40ac25d614eb97a1c5a,4,22,0,4,base_preserved,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0004
0,0,0,0,business-0,active,16,0,16,50,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,ablation,5,0,0,0,16,16,24117,0,0,0,4,24117,4,L4_no_push,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_provider_retry_20260911/runs/w0005/result.json,dd70cec0e003da43bff7d44f00d4ed192ed7924b467b55c01e01bb1379ad2ee2,4,22,0,4,provider_retry,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0005
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,ablation,6,0,0,0,16,16,24243,0,0,0,4,24243,4,L4_no_fact,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_provider_retry_20260911/runs/w0006/result.json,3c6fbf0df2d81e9ae63965ec82dd33ad4c2aac4244dac8582934c07cb257c022,4,22,0,4,provider_retry,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0006
0,0,0,0,business-0,active,16,0,16,50,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,ablation,7,0,0,0,16,16,21328,0,0,0,4,21328,4,L4_no_recovery,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0007/result.json,15bb4fd66464f76e9f7dd3a3a8b4ed9f1889dd66bdafc6144000402a5f7c61fa,4,22,0,4,base_preserved,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0007
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,ablation,8,0,0,0,16,16,20920,0,0,0,4,20920,4,L3_coarse,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0008/result.json,594db5e645066c13917f035d977c8ce4e9a731f0746b0c9f1b30625d514cca35,4,22,0,4,base_preserved,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0008
0,0,0,0,business-0,active,16,0,16,0,0,a0bbe6669d2c3b54b6dd5dd9b62cd8b4946c0ed7c631715c423bc9d280520eb6,final-v1:long_chain_fork:active:business-0,ablation,9,0,0,0,16,16,21197,0,0,0,4,21197,4,verify_all,0,16,0,0,16,0,0,0,4,4,0,0,0,0,16,0,0,16,0,0,0,0,results/final_unified_live_v1_20260911/runs/w0009/result.json,96be97907e267f885189ab75b213acbf04a95f54ef04bbd2f82d9beaafae9ea8,4,22,0,4,base_preserved,completed,54,long_chain_fork,4,0,0,,0,0,0,4,4,0,0,22,0,w0009
