comparison,fixtures,interval_95,mean,method,metric
L1 minus L0,59,"[-0.025423728813559324, 0.046610169491525424]",0.00847457627118644,percentile bootstrap of fixture-level paired differences,unsafe_rate
L1 minus L0,59,"[-0.012711864406779662, 0.0]",-0.00423728813559322,percentile bootstrap of fixture-level paired differences,safe_rate
L1 minus L0,59,"[-0.01694915254237288, 0.0]",-0.005649717514124295,percentile bootstrap of fixture-level paired differences,unrelated_retention
L1 minus L0,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L1 minus L0,59,"[-0.029661016949152543, 0.029661016949152543]",0.0,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L1 minus L0,53,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L1 minus L0,59,"[1.0, 1.0]",1.0,percentile bootstrap of fixture-level paired differences,route_coverage
L1 minus L0,59,"[704.2880110594825, 917.2219915105557]",807.2550067181917,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L2 minus L0,59,"[-0.09745762711864407, 0.00423728813559322]",-0.046610169491525424,percentile bootstrap of fixture-level paired differences,unsafe_rate
L2 minus L0,59,"[-0.0211864406779661, 0.0]",-0.00847457627118644,percentile bootstrap of fixture-level paired differences,safe_rate
L2 minus L0,59,"[-0.0423728813559322, 0.0]",-0.01694915254237288,percentile bootstrap of fixture-level paired differences,unrelated_retention
L2 minus L0,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L2 minus L0,59,"[-0.2923728813559322, -0.059322033898305086]",-0.1694915254237288,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L2 minus L0,53,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L2 minus L0,59,"[1.0, 1.0]",1.0,percentile bootstrap of fixture-level paired differences,route_coverage
L2 minus L0,59,"[726.9312701231291, 962.2178512153454]",837.7911139469256,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L2 minus L1,59,"[-0.09745762711864407, -0.01694915254237288]",-0.05508474576271186,percentile bootstrap of fixture-level paired differences,unsafe_rate
L2 minus L1,59,"[-0.01694915254237288, 0.00847457627118644]",-0.00423728813559322,percentile bootstrap of fixture-level paired differences,safe_rate
L2 minus L1,59,"[-0.03954802259887005, 0.01129943502824859]",-0.011299435028248588,percentile bootstrap of fixture-level paired differences,unrelated_retention
L2 minus L1,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L2 minus L1,59,"[-0.2923728813559322, -0.05508474576271186]",-0.1694915254237288,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L2 minus L1,53,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L2 minus L1,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L2 minus L1,59,"[-96.87075542614542, 152.93641153556516]",30.536107228734014,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L3 minus L0,59,"[-0.2330508474576271, -0.09322033898305085]",-0.1652542372881356,percentile bootstrap of fixture-level paired differences,unsafe_rate
L3 minus L0,59,"[-0.03389830508474576, -0.00423728813559322]",-0.01694915254237288,percentile bootstrap of fixture-level paired differences,safe_rate
L3 minus L0,59,"[-0.062146892655367235, -0.005649717514124295]",-0.031073446327683617,percentile bootstrap of fixture-level paired differences,unrelated_retention
L3 minus L0,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L3 minus L0,59,"[-0.5, -0.2076271186440678]",-0.3516949152542373,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L3 minus L0,53,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L3 minus L0,59,"[1.0, 1.0]",1.0,percentile bootstrap of fixture-level paired differences,route_coverage
L3 minus L0,59,"[877.3383725374468, 1230.603536052678]",1044.2130902436404,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L3 minus L2,59,"[-0.17372881355932204, -0.0635593220338983]",-0.11864406779661017,percentile bootstrap of fixture-level paired differences,unsafe_rate
L3 minus L2,59,"[-0.025423728813559324, 0.00847457627118644]",-0.00847457627118644,percentile bootstrap of fixture-level paired differences,safe_rate
L3 minus L2,59,"[-0.04519774011299436, 0.01694915254237288]",-0.014124293785310734,percentile bootstrap of fixture-level paired differences,unrelated_retention
L3 minus L2,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L3 minus L2,59,"[-0.3008474576271186, -0.06779661016949153]",-0.18220338983050846,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L3 minus L2,53,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L3 minus L2,59,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L3 minus L2,59,"[58.630235131341685, 376.391325244423]",206.42197629671475,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus L0,58,"[-0.41379310344827586, -0.31896551724137934]",-0.36637931034482757,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L0,58,"[-0.01293103448275862, 0.05172413793103448]",0.017241379310344827,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L0,58,"[-0.04310344827586207, 0.0]",-0.017241379310344827,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L0,58,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L0,58,"[-1.1896551724137931, -0.8060344827586207]",-0.9956896551724138,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L0,52,"[0.0, 0.1346153846153846]",0.057692307692307696,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L0,58,"[1.0, 1.0]",1.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L0,58,"[905.257353137573, 1248.919575858275]",1064.9442189762888,percentile bootstrap of fixture-level paired differences,tokens_per_decision
L4 minus L3,58,"[-0.25, -0.13793103448275862]",-0.1896551724137931,percentile bootstrap of fixture-level paired differences,unsafe_rate
L4 minus L3,58,"[-0.004310344827586207, 0.06896551724137931]",0.03017241379310345,percentile bootstrap of fixture-level paired differences,safe_rate
L4 minus L3,58,"[-0.028735632183908042, 0.04310344827586207]",0.00574712643678161,percentile bootstrap of fixture-level paired differences,unrelated_retention
L4 minus L3,58,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,overfreeze_rate
L4 minus L3,58,"[-0.8663793103448276, -0.43103448275862066]",-0.6379310344827587,percentile bootstrap of fixture-level paired differences,propagation_handoffs_per_task
L4 minus L3,52,"[0.0, 0.1346153846153846]",0.057692307692307696,percentile bootstrap of fixture-level paired differences,recovery_rate_confirmed
L4 minus L3,58,"[0.0, 0.0]",0.0,percentile bootstrap of fixture-level paired differences,route_coverage
L4 minus L3,58,"[-122.97554521670625, 157.20273900562452]",14.420222962164193,percentile bootstrap of fixture-level paired differences,tokens_per_decision
