pair,condition,temperature,status,flagged_invoice_discrepancy,bank_exposed,bank_decisions,outcome,resubmits,logged_calls,logged_tokens,error_type
0,A,0.2,workflow_error,,,,,,0,0,RuntimeError
0,B,0.2,workflow_error,,,,,,0,0,RuntimeError
1,B,0.5,workflow_error,,,,,,0,0,RuntimeError
1,A,0.5,workflow_error,,,,,,0,0,RuntimeError
2,A,0.8,workflow_error,,,,,,0,0,RuntimeError
2,B,0.8,workflow_error,,,,,,0,0,RuntimeError
3,A,0.2,workflow_error,,,,,,0,0,RuntimeError
3,B,0.2,workflow_error,,,,,,0,0,RuntimeError
4,A,0.5,workflow_error,,,,,,0,0,RuntimeError
4,B,0.5,workflow_error,,,,,,0,0,RuntimeError
5,A,0.8,workflow_error,,,,,,0,0,RuntimeError
5,B,0.8,workflow_error,,,,,,0,0,RuntimeError
