pair,condition,temperature,status,flagged_invoice_discrepancy,bank_exposed,bank_decisions,outcome,resubmits,logged_calls,logged_tokens,error_type
0,A,0.2,finished,True,True,1,human_escalation,0,1,1202,
0,B,0.2,finished,True,True,1,human_escalation,0,1,1132,
1,A,0.5,workflow_error,,,,,,1,1027,RuntimeError
1,B,0.5,finished,True,True,1,human_escalation,0,1,1231,
2,A,0.8,finished,True,True,1,human_escalation,0,1,1036,
2,B,0.8,finished,True,True,1,human_escalation,0,1,1274,
3,A,0.2,finished,True,True,1,human_escalation,0,1,1039,
3,B,0.2,finished,True,True,1,human_escalation,0,1,1228,
4,A,0.5,finished,True,True,1,human_escalation,0,1,1151,
4,B,0.5,finished,True,True,1,human_escalation,0,1,1108,
5,A,0.8,finished,True,True,1,human_escalation,0,1,1162,
5,B,0.8,finished,True,True,1,human_escalation,0,1,1306,
