scenario,seed,protocol,objective,converged,converged_starts,starts,rounds,equilibrium_cost,social_optimum,observed_poa,exploitability,tree_nodes
synthetic,7,black_box,selfish,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,7,black_box,resp,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,7,certificate,selfish,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,7,certificate,resp,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,7,verified_certificate,selfish,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,7,verified_certificate,resp,True,2,2,2,1.1616802773422539,1.0022861471100117,1.159030562970304,0.0,43
synthetic,11,black_box,selfish,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,11,black_box,resp,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,11,certificate,selfish,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,11,certificate,resp,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,11,verified_certificate,selfish,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,11,verified_certificate,resp,True,2,2,2,1.075017218861605,0.9573677011541964,1.122888538610161,0.0,43
synthetic,23,black_box,selfish,True,2,2,2,1.1368761409408923,1.043410381332371,1.0895771800632952,0.0,43
synthetic,23,black_box,resp,True,2,2,2,1.1368761409408927,1.043410381332371,1.0895771800632956,0.0,43
synthetic,23,certificate,selfish,True,2,2,2,1.1368761409408923,1.043410381332371,1.0895771800632952,0.0,43
synthetic,23,certificate,resp,True,2,2,2,1.1368761409408927,1.043410381332371,1.0895771800632956,0.0,43
synthetic,23,verified_certificate,selfish,True,2,2,2,1.1368761409408923,1.043410381332371,1.0895771800632952,0.0,43
synthetic,23,verified_certificate,resp,True,2,2,2,1.1368761409408927,1.043410381332371,1.0895771800632956,0.0,43
letter_of_credit,0,black_box,selfish,True,2,2,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1753
letter_of_credit,0,black_box,resp,True,2,2,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1753
letter_of_credit,0,certificate,selfish,True,2,2,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1753
letter_of_credit,0,certificate,resp,True,2,2,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1753
letter_of_credit,0,verified_certificate,selfish,True,2,2,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1753
letter_of_credit,0,verified_certificate,resp,True,2,2,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1753
