synthetic//baseline black_box selfish: PoA=1.15903, checks=0.50000, PoA=1.15903, checks=0.50000
synthetic//baseline black_box resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline black_box resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline black_box resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline black_box resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline black_box resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
synthetic//baseline certificate selfish: PoA=1.15903, checks=0.50000, PoA=1.15903, checks=0.50000
synthetic//baseline certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
synthetic//baseline verified_certificate selfish: PoA=1.15903, checks=0.50000, PoA=1.15903, checks=0.50000
synthetic//baseline verified_certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.15903, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
synthetic//baseline black_box selfish: PoA=1.12289, checks=0.50000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate selfish: PoA=1.12289, checks=0.50000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate selfish: PoA=1.12289, checks=0.50000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.12289, checks=0.50000
synthetic//baseline black_box selfish: PoA=1.08958, checks=0.50000, PoA=1.08958, checks=0.50000
synthetic//baseline black_box resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline black_box resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline black_box resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline black_box resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline black_box resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
synthetic//baseline certificate selfish: PoA=1.08958, checks=0.50000, PoA=1.08958, checks=0.50000
synthetic//baseline certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
synthetic//baseline verified_certificate selfish: PoA=1.08958, checks=0.50000, PoA=1.08958, checks=0.50000
synthetic//baseline verified_certificate resp-Proportional: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@0.5: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@1: PoA=1.00000, checks=1.00000, PoA=1.08958, checks=0.50000
synthetic//baseline verified_certificate resp-Omission@2: PoA=1.00000, checks=1.00000, PoA=1.00000, checks=1.00000
letter_of_credit//baseline black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit//baseline black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline black_box resp-Omission@0: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline black_box resp-Omission@0.5: PoA=1.05701, checks=0.87908, PoA=1.05701, checks=0.87908
letter_of_credit//baseline black_box resp-Omission@1: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit//baseline black_box resp-Omission@2: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit//baseline certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit//baseline certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline certificate resp-Omission@0: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline certificate resp-Omission@0.5: PoA=1.05701, checks=0.87908, PoA=1.05701, checks=0.87908
letter_of_credit//baseline certificate resp-Omission@1: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit//baseline certificate resp-Omission@2: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit//baseline verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit//baseline verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline verified_certificate resp-Omission@0: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit//baseline verified_certificate resp-Omission@0.5: PoA=1.05701, checks=0.87908, PoA=1.05701, checks=0.87908
letter_of_credit//baseline verified_certificate resp-Omission@1: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit//baseline verified_certificate resp-Omission@2: PoA=1.00647, checks=1.00000, PoA=1.00647, checks=1.00000
letter_of_credit/export_bank_review__0/baseline black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
