scenario,seed,ablation_node,alignment,protocol,target,w_omit,converged,rounds,social_cost,social_optimum,observed_poa,expected_checks,optimal_checks,over_check_ratio,exploitability,converged_starts,starts,check_ratio_min,check_ratio_max
synthetic,7,,baseline,black_box,selfish,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,7,,baseline,black_box,resp-Proportional,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,black_box,resp-Omission@0,0.0,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,black_box,resp-Omission@0.5,0.5,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,black_box,resp-Omission@1,1.0,True,2,1.1616802773422537,1.0022861471100117,1.1590305629703037,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,black_box,resp-Omission@2,2.0,True,2,1.0022861471100115,1.0022861471100117,0.9999999999999998,2.0,2.0,1.0,0.0,2,2,1.0,1.0
synthetic,7,,baseline,certificate,selfish,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,7,,baseline,certificate,resp-Proportional,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,certificate,resp-Omission@0,0.0,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,certificate,resp-Omission@0.5,0.5,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,certificate,resp-Omission@1,1.0,True,2,1.1616802773422537,1.0022861471100117,1.1590305629703037,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,certificate,resp-Omission@2,2.0,True,2,1.0022861471100115,1.0022861471100117,0.9999999999999998,2.0,2.0,1.0,0.0,2,2,1.0,1.0
synthetic,7,,baseline,verified_certificate,selfish,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,7,,baseline,verified_certificate,resp-Proportional,,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,verified_certificate,resp-Omission@0,0.0,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,verified_certificate,resp-Omission@0.5,0.5,True,2,1.1616802773422539,1.0022861471100117,1.159030562970304,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,verified_certificate,resp-Omission@1,1.0,True,2,1.1616802773422537,1.0022861471100117,1.1590305629703037,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,7,,baseline,verified_certificate,resp-Omission@2,2.0,True,2,1.0022861471100115,1.0022861471100117,0.9999999999999998,2.0,2.0,1.0,0.0,2,2,1.0,1.0
synthetic,11,,baseline,black_box,selfish,,True,2,1.075017218861605,0.9573677011541964,1.122888538610161,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,11,,baseline,black_box,resp-Proportional,,True,2,1.075017218861605,0.9573677011541964,1.122888538610161,1.0,2.0,0.5,0.0,2,2,0.5,1.0
